ckpt,model,seed,task,use_goal,goal_slot,n_steps,guidance,execute_horizon,n_average,ema,n_episodes,success_rate,mean_length
outputs/fm_pick_mp_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,8,1,False,100,0.6400,159.83
outputs/bcx_pick_mp_s42/ckpt_20000.pt,bc_xattn,42,PickCube-v1,True,False,1,1.0,8,1,False,100,0.5200,187.21
outputs/fm_pick_mix_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,8,1,False,100,0.0300,292.61
outputs/bcx_pick_mix_s42/ckpt_20000.pt,bc_xattn,42,PickCube-v1,True,False,1,1.0,8,1,False,100,0.0300,292.27
